batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,5,26,124982,2,2,1.0,False,False
0,5,27,141402,2,2,1.0,False,False
0,5,28,111056,1,1,1.0,False,False
0,5,29,1841,3,3,1.0,False,False
0,5,30,137821,0,0,1.0,False,False
0,5,31,46731,2,2,1.0,False,False
0,5,32,71725,12,12,0.4117647058823529,True,True
0,5,33,103468,19,20,0.14705882352941177,True,True
0,5,34,105546,2,2,1.0,False,False
0,5,35,99944,11,11,0.2222222222222222,True,True
0,5,36,113460,10,10,0.05263157894736842,True,True
0,5,37,98104,1,1,1.0,False,False
0,5,38,91888,0,0,1.0,False,False
0,5,39,36237,0,0,1.0,False,False
0,5,40,83916,1,1,1.0,False,False
0,5,41,147819,11,11,1.0,False,False
0,5,42,11000,2,2,1.0,False,False
0,5,43,148867,1,1,1.0,False,False
0,5,44,83504,1,1,1.0,False,False
0,5,45,133794,34,31,0.32653061224489793,True,True
0,5,46,123557,0,0,1.0,False,False
0,5,47,62311,87,81,0.17482517482517482,True,True
0,5,48,19011,0,0,1.0,False,False
0,5,49,81867,7,7,1.0,False,False
0,5,50,42999,19,19,0.11764705882352941,True,True
0,5,51,132577,2,2,1.0,False,False
0,5,52,9946,5,5,1.0,False,False
0,5,53,131371,9,9,1.0,False,False
0,5,54,133641,15,14,0.3181818181818182,True,True
0,5,55,44968,14,14,0.21739130434782608,True,True
0,5,56,130020,12,13,0.25,True,True
0,5,57,129551,1,1,1.0,False,False
0,5,58,78414,9,9,0.5,True,True
0,5,59,41758,7,7,1.0,False,False
0,5,60,101974,0,0,1.0,False,False
0,5,61,37111,11,11,1.0,False,False
0,5,62,79510,54,53,0.3717948717948718,True,True
0,5,63,20237,0,0,1.0,False,False
0,5,64,51355,0,0,1.0,False,False
0,5,65,140923,9,10,0.9,True,True
0,5,66,32505,2,2,1.0,False,False
0,5,67,14421,1,1,1.0,False,False
0,5,68,29356,77,72,0.12878787878787878,True,True
0,5,69,24025,0,0,1.0,False,False
0,5,70,131248,2,2,1.0,False,False
0,5,71,67883,9,9,0.5,True,True
0,5,72,79266,10,10,0.42857142857142855,True,True
0,5,73,108389,11,11,0.15789473684210525,True,True
0,5,74,95415,9,9,0.6363636363636364,True,True
0,5,75,90553,19,20,0.05405405405405406,True,True
0,5,76,34826,9,9,0.38461538461538464,True,True
0,5,77,67754,29,30,0.2553191489361702,True,True
0,5,78,120141,2,2,1.0,False,False
0,5,79,136222,32,33,0.3541666666666667,True,True
0,6,0,58421,7,7,1.0,False,False
