model,pair_model_id,target,baseline_source,added_source,singleton_value,pair_value,impact,metric
PRODIGY / NM,nmpair_ukr_rus__twibot20,cp_hk_twitter,twibot20,ukr_rus_twitter,0.7192512317635547,0.7142900780699719,-0.0049611536935827,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,ukr_rus_twitter,twibot20,covid19_twitter,0.8557163926376693,0.88660879272154,0.0308924000838707,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,facebook_page_reference,twibot20,covid19_twitter,0.8080495528791142,0.8451789461333177,0.0371293932542035,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,covid_political,twibot20,covid19_twitter,0.829245352608034,0.8349873396171922,0.0057419870091581,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,ukr_rus_suspended,twibot20,covid19_twitter,0.798255482624317,0.8164383690932702,0.0181828864689531,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,midterm,twibot20,covid19_twitter,0.8490113705054098,0.8537440508261493,0.0047326803207395,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,election2020,twibot20,covid19_twitter,0.8410705615734232,0.8404344639558903,-0.0006360976175329,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,cp_hk_twitter,twibot20,covid19_twitter,0.7192512317635547,0.7222671216931836,0.0030158899296289,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,ukr_rus_twitter,twibot20,election2020,0.8557163926376693,0.8617361611333385,0.0060197684956692,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,facebook_page_reference,twibot20,election2020,0.8080495528791142,0.8061837266231405,-0.0018658262559736,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,covid19_twitter,twibot20,election2020,0.940913052120428,0.9423395248665206,0.0014264727460926,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,covid_political,twibot20,election2020,0.829245352608034,0.8315393821946505,0.0022940295866165,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,ukr_rus_suspended,twibot20,election2020,0.798255482624317,0.8097978637136263,0.0115423810893092,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,midterm,twibot20,election2020,0.8490113705054098,0.8468925034862824,-0.0021188670191273,macro ROC-AUC
PRODIGY / NM,nmpair_election2020__twibot20,cp_hk_twitter,twibot20,election2020,0.7192512317635547,0.7175919942472173,-0.0016592375163373,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,ukr_rus_twitter,twibot20,ukr_rus_suspended,0.8557163926376693,0.8746936344552315,0.0189772418175622,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,facebook_page_reference,twibot20,ukr_rus_suspended,0.8080495528791142,0.8083726880194128,0.0003231351402985,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,covid19_twitter,twibot20,ukr_rus_suspended,0.940913052120428,0.946547159792363,0.005634107671935,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,covid_political,twibot20,ukr_rus_suspended,0.829245352608034,0.8299580469898795,0.0007126943818455,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,midterm,twibot20,ukr_rus_suspended,0.8490113705054098,0.8430140621360691,-0.0059973083693406,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,election2020,twibot20,ukr_rus_suspended,0.8410705615734232,0.8324329791397884,-0.0086375824336347,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,cp_hk_twitter,twibot20,ukr_rus_suspended,0.7192512317635547,0.7228747933760455,0.0036235616124908,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,ukr_rus_twitter,twibot20,cp_hk_twitter,0.8557163926376693,0.8546168975446417,-0.0010994950930276,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,facebook_page_reference,twibot20,cp_hk_twitter,0.8080495528791142,0.8157250346808598,0.0076754818017455,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,covid19_twitter,twibot20,cp_hk_twitter,0.940913052120428,0.9391990805494376,-0.0017139715709904,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,covid_political,twibot20,cp_hk_twitter,0.829245352608034,0.8171355083070951,-0.0121098443009388,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,ukr_rus_suspended,twibot20,cp_hk_twitter,0.798255482624317,0.7887175651802416,-0.0095379174440753,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,midterm,twibot20,cp_hk_twitter,0.8490113705054098,0.856197894852737,0.0071865243473272,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__cp_hk,election2020,twibot20,cp_hk_twitter,0.8410705615734232,0.8350901341986383,-0.0059804273747848,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,ukr_rus_twitter,twibot20,covid_political,0.8557163926376693,0.8568395503636063,0.0011231577259369,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,facebook_page_reference,twibot20,covid_political,0.8080495528791142,0.7977252297017767,-0.0103243231773374,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,covid19_twitter,twibot20,covid_political,0.940913052120428,0.9411413695620394,0.0002283174416114,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,ukr_rus_suspended,twibot20,covid_political,0.798255482624317,0.8067617487633366,0.0085062661390196,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,midterm,twibot20,covid_political,0.8490113705054098,0.8465428145452478,-0.0024685559601619,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,election2020,twibot20,covid_political,0.8410705615734232,0.8273864317214351,-0.013684129851988,macro ROC-AUC
PRODIGY / NM,nmpair_covid_political__twibot20,cp_hk_twitter,twibot20,covid_political,0.7192512317635547,0.7164396377815597,-0.0028115939819949,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,ukr_rus_twitter,twibot20,facebook_page_reference,0.8557163926376693,0.8642584651366046,0.0085420724989353,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,covid19_twitter,twibot20,facebook_page_reference,0.940913052120428,0.9295396900725093,-0.0113733620479187,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,covid_political,twibot20,facebook_page_reference,0.829245352608034,0.8270284969231179,-0.0022168556849161,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,ukr_rus_suspended,twibot20,facebook_page_reference,0.798255482624317,0.7957661008012706,-0.0024893818230463,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,midterm,twibot20,facebook_page_reference,0.8490113705054098,0.825074331924833,-0.0239370385805767,macro ROC-AUC
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,election2020,twibot20,facebook_page_reference,0.8410705615734232,0.8386719436481083,-0.0023986179253149,macro ROC-AUC
