order,rung,added,source_count,sources,target,roc_auc,accuracy,f1,execution_source
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",cp_hk_twitter,0.6237015863505749,0.0937,0.0936795777012717,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",facebook_page_reference,0.8974956159482758,0.5464,0.546418256674746,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",ukr_rus_twitter,0.5990651728767561,0.0875,0.0874846051868229,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",covid19_twitter,0.7199431172413792,0.1741888888888889,0.1741464329291577,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",midterm,0.7144266180555554,0.1327888888888889,0.1327504748984284,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",covid_political,0.7576083891283525,0.1759055555555555,0.1759063927288809,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",election2020,0.6856896781609196,0.1475333333333333,0.1475299488543698,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",ukr_rus_suspended,0.6865165701149425,0.1626666666666666,0.1626616709418399,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",twibot20,0.7526842050925926,0.26885,0.2688594092269548,CARC-V100
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",cp_hk_twitter,0.6221405458333333,0.0939833333333333,0.0939490175055315,CARC-V100
