stream,model,decoder,full_model_outcome,n,conditional_accuracy
fresh,ss_ukr_rus,final_input/ridge,both_wrong,197,0.15228426395939088
fresh,ss_facebook_page_reference,full_model,both_correct,1609,1.0
fresh,ss_facebook_page_reference,full_model,b_only,1142,0.0
fresh,ss_facebook_page_reference,full_model,c_only,124,1.0
fresh,ss_facebook_page_reference,full_model,both_wrong,197,0.0
fresh,ss_facebook_page_reference,raw_center/prototype,both_correct,1609,0.8228713486637663
fresh,ss_facebook_page_reference,raw_center/prototype,b_only,1142,0.7591943957968477
fresh,ss_facebook_page_reference,raw_center/prototype,c_only,124,0.4435483870967742
fresh,ss_facebook_page_reference,raw_center/prototype,both_wrong,197,0.34517766497461927
fresh,ss_facebook_page_reference,raw_center/ridge,both_correct,1609,0.8141702921068987
fresh,ss_facebook_page_reference,raw_center/ridge,b_only,1142,0.7425569176882661
fresh,ss_facebook_page_reference,raw_center/ridge,c_only,124,0.4274193548387097
fresh,ss_facebook_page_reference,raw_center/ridge,both_wrong,197,0.3604060913705584
fresh,ss_facebook_page_reference,raw_context/prototype,both_correct,1609,0.8396519577377253
fresh,ss_facebook_page_reference,raw_context/prototype,b_only,1142,0.8590192644483362
fresh,ss_facebook_page_reference,raw_context/prototype,c_only,124,0.43548387096774194
fresh,ss_facebook_page_reference,raw_context/prototype,both_wrong,197,0.49238578680203043
fresh,ss_facebook_page_reference,raw_context/ridge,both_correct,1609,0.7507768800497203
fresh,ss_facebook_page_reference,raw_context/ridge,b_only,1142,0.6716287215411558
fresh,ss_facebook_page_reference,raw_context/ridge,c_only,124,0.3870967741935484
fresh,ss_facebook_page_reference,raw_context/ridge,both_wrong,197,0.39086294416243655
fresh,ss_facebook_page_reference,raw_joint/prototype,both_correct,1609,0.7911746426351771
fresh,ss_facebook_page_reference,raw_joint/prototype,b_only,1142,0.6217162872154116
fresh,ss_facebook_page_reference,raw_joint/prototype,c_only,124,0.5564516129032258
fresh,ss_facebook_page_reference,raw_joint/prototype,both_wrong,197,0.38578680203045684
fresh,ss_facebook_page_reference,raw_joint/ridge,both_correct,1609,0.8315724052206339
fresh,ss_facebook_page_reference,raw_joint/ridge,b_only,1142,0.6961471103327496
fresh,ss_facebook_page_reference,raw_joint/ridge,c_only,124,0.532258064516129
fresh,ss_facebook_page_reference,raw_joint/ridge,both_wrong,197,0.350253807106599
fresh,ss_facebook_page_reference,S0_conv_center/prototype,both_correct,1609,0.795525170913611
fresh,ss_facebook_page_reference,S0_conv_center/prototype,b_only,1142,0.6514886164623468
fresh,ss_facebook_page_reference,S0_conv_center/prototype,c_only,124,0.5241935483870968
fresh,ss_facebook_page_reference,S0_conv_center/prototype,both_wrong,197,0.3553299492385787
fresh,ss_facebook_page_reference,S0_conv_center/ridge,both_correct,1609,0.7893101305158483
fresh,ss_facebook_page_reference,S0_conv_center/ridge,b_only,1142,0.6576182136602452
fresh,ss_facebook_page_reference,S0_conv_center/ridge,c_only,124,0.47580645161290325
fresh,ss_facebook_page_reference,S0_conv_center/ridge,both_wrong,197,0.38071065989847713
fresh,ss_facebook_page_reference,S0_pool/prototype,both_correct,1609,0.8495960223741454
fresh,ss_facebook_page_reference,S0_pool/prototype,b_only,1142,0.7049036777583187
fresh,ss_facebook_page_reference,S0_pool/prototype,c_only,124,0.6451612903225806
fresh,ss_facebook_page_reference,S0_pool/prototype,both_wrong,197,0.4416243654822335
fresh,ss_facebook_page_reference,S0_pool/ridge,both_correct,1609,0.9477936606587943
fresh,ss_facebook_page_reference,S0_pool/ridge,b_only,1142,0.8809106830122592
fresh,ss_facebook_page_reference,S0_pool/ridge,c_only,124,0.6451612903225806
fresh,ss_facebook_page_reference,S0_pool/ridge,both_wrong,197,0.4619289340101523
fresh,ss_facebook_page_reference,U1_pre_meta/prototype,both_correct,1609,0.8048477315102548
fresh,ss_facebook_page_reference,U1_pre_meta/prototype,b_only,1142,0.6313485113835376
