base_source,added_source,pair_model_id,base_all_target_mean_auc,heldout_mean_delta_auc,all_target_mean_delta_auc,delta_to_ukr_rus,delta_to_facebook_page_reference,delta_to_covid,delta_to_twibot20,delta_to_covid_political,delta_to_ukr_rus_suspended,delta_to_midterm,delta_to_election2020,delta_to_cp_hk
cp_hk,twibot20,nmpair_twibot20__cp_hk,77.15230943599423,7.7899544638366045,7.536443123263268,8.207404832730347,6.201908780240462,8.123954096059693,13.735036096353625,9.393254587019994,7.099300581833445,3.6399226216064395,11.86393574736585,-0.43672923384043827
cp_hk,midterm,nmpair_midterm__cp_hk,77.15230943599423,5.606946753359388,4.671766814296427,4.13630703399922,-3.04588519293687,3.088679998770516,9.28504332728769,9.57182364902277,4.335094978069454,3.824424359990264,11.877563479302932,-1.0271503048381314
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,77.15230943599423,5.404889227330007,4.979475952808585,6.618051857783891,9.327470995913966,4.2731518718017725,6.615160511828022,5.298441621078864,5.2534252199633364,-0.5587379411719162,10.33473145002608,-2.3464120119467524
cp_hk,ukr_rus_suspended,nmpair_ukr_rus_suspended__cp_hk,77.15230943599423,3.964159727488053,5.295403535034163,5.309344721936626,5.361554211583652,2.8484299402127156,1.866327716016214,4.768034041613012,20.521989046842204,0.37594456782288344,7.219482893231266,-0.6124753239511116
cp_hk,covid_political,nmpair_covid_political__cp_hk,77.15230943599423,2.7799219059435294,3.6113381309679857,0.703913288554936,0.6647903480748951,0.5431491342084094,5.830814838409426,13.796399078149902,3.170590181460342,-0.7452273916923935,9.29142294258909,-0.7538092410427355
cp_hk,election2020,nmpair_election2020__cp_hk,77.15230943599423,2.363118158381169,3.617282452711204,0.5065190381017048,-1.0652692975669065,-0.16928939983763547,6.2830849899642605,9.52396775114127,0.7704510770995099,0.6923629497659789,16.674742602753923,-0.661027637021272
facebook_page_reference,ukr_rus,nmpair_ukr_rus__facebook_page_reference,76.83443454642558,8.295256028621658,8.293537650528542,11.85930563115527,4.715741023249997,9.588127026612725,10.308582015421209,7.784178215881877,10.642783861050663,10.060241784172508,4.397396712467582,5.285482584745038
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,76.83443454642558,7.419599611770934,7.397544816383762,9.239501172098642,4.610997287706398,10.02970877735092,10.70431847681943,6.946776762775986,9.13838544111143,8.646146853764868,3.998089727314036,3.26397884851215
facebook_page_reference,twibot20,nmpair_twibot20__facebook_page_reference,76.83443454642558,6.83296194413222,7.04265734854025,7.143948653648636,3.8826663877772116,7.619855445006807,11.670516140159503,6.997300290513309,8.979515974549058,8.683717634486065,4.280080384221585,4.126315226500077
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,76.83443454642558,5.932060666076461,6.2898488397951535,6.0566502192924805,3.893895190337615,6.104548415918442,7.735376673183236,6.611265944338385,7.757808422220169,11.190319705283535,3.693291044783331,3.565483942799186
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,76.83443454642558,4.652324039947819,5.297350842377239,4.590438919505879,3.076939075842655,4.734992268441718,4.908753071708261,1.9131884629699059,6.428787050576046,7.597413364498107,2.3926951419348197,12.03295022591776
facebook_page_reference,ukr_rus_suspended,nmpair_ukr_rus_suspended__facebook_page_reference,76.83443454642558,4.6522414762594,6.257684538343092,5.565925480305456,2.981798100745525,5.530908710655103,4.724132384376977,4.0535860363094205,20.7716724105265,6.87816914470718,2.57738994455885,3.2355786329028136
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,76.83443454642558,2.4631369955629805,2.8090684441314373,2.301639948768197,-0.3321324134695214,1.8152177059787333,4.067085077022692,4.152105183436938,3.962511783358702,0.05570367835036061,8.371789441711597,0.8876955920252394
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,76.83443454642558,1.6465462526468633,2.3997508017952875,2.0590987150696516,-0.28073613671051323,1.0195475748215665,4.109844106367266,10.352669584340058,3.2065579534947153,-0.029825259899241008,1.1424682195159241,0.018132459158159975
election2020,ukr_rus,nmpair_ukr_rus__election2020,75.95805591702613,9.899004727161573,9.876768010481713,20.612719565972515,18.71413515902114,18.43838013451674,8.946747889463925,0.6116522180623085,7.327926254820538,8.337029533824703,-1.0148405617680933,6.917161900421654
election2020,twibot20,nmpair_election2020__twibot20,75.95805591702613,9.683418959036638,8.559547920032168,15.323562717985828,13.582546039559373,17.301163056801105,10.284849624524128,0.6617246140008692,6.477711611780634,7.656043904951238,-1.0328510574910799,6.781180768177419
election2020,covid,nmpair_covid__election2020,75.95805591702613,9.153787030766551,9.098922355269414,17.695019258849932,17.236427068710302,18.80650127071076,9.341376362175769,-0.4676171006827601,6.7876093140963984,7.299075469203375,-0.9927092886519051,6.184618843012846
