architecture	pretraining_objective	model_id	n_sources	sources	target	auc	average_precision	hits_at_50	orientation	n_test_pairs	holdout_leakage_edges	endpoint_sensitivity	endpoint_permutation_auc	checkpoint_step	seed	protocol
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	facebook_page_reference	0.6919586734693878				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	midterm	0.6661122448979592				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	twibot20	0.7746538265306122				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	ukr_rus_suspended	0.6376727040816327				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	ukr_rus_twitter	0.681709693877551				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	covid19_twitter	0.741304081632653				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	covid_political	0.5988742346938776				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	cp_hk_twitter	0.5317785714285714				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	election2020	0.670881887755102				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	facebook_page_reference	0.6214704081632653				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	midterm	0.6216349489795918				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	twibot20	0.7371400510204081				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	ukr_rus_suspended	0.6261683673469388				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__ukr_rus_suspended	2	covid19_twitter,ukr_rus_suspended	ukr_rus_twitter	0.6565066326530612				2800	0			2500	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	covid19_twitter	0.7155130102040816				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	covid_political	0.7038630102040816				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	cp_hk_twitter	0.5697788265306123				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	election2020	0.7516329081632653				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	facebook_page_reference	0.6647071428571428				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	midterm	0.645515306122449				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	twibot20	0.7499869897959184				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	ukr_rus_suspended	0.6320522959183673				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__cp_hk_twitter	2	covid_political,cp_hk_twitter	ukr_rus_twitter	0.6281739795918367				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__election2020	2	covid_political,election2020	covid19_twitter	0.6943311224489795				2800	0			5250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__election2020	2	covid_political,election2020	covid_political	0.7040867346938775				2800	0			5250	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid_political__election2020	2	covid_political,election2020	cp_hk_twitter	0.5574553571428571				2800	0			5250	0	graphsage_frozen_static_lp_degree_matched_v1
