threshold,alpha,iterations,excluded,target,run_dir,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
0.7,0.25,1,covid_political,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_covid_political_to_covid_political_pl_3shot_01_09_2026_01_10_02,0.8653958333333334,0.9253462864583333,0.862375,0.9171664409722222
0.7,0.25,1,covid_political,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_covid_political_to_election2020_pl_3shot_01_09_2026_01_10_02,0.97575,0.99072425,0.976,0.9884620000000001
0.7,0.25,1,covid_political,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_covid_political_to_facebook_page_reference_pl_3shot_01_09_2026_01_10_51,0.12528333333333333,0.736474267025862,0.1248625,0.735398965400503
0.7,0.25,1,covid_political,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_covid_political_to_twibot20_pl_3shot_01_09_2026_01_10_51,0.73925,0.8190992013888889,0.7251666666666666,0.8142474574652778
0.7,0.25,1,covid_political,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_covid_political_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_13_16,0.56025,0.5813113750000001,0.55225,0.561931
0.7,0.25,1,election2020,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_election2020_to_covid_political_pl_3shot_01_09_2026_01_10_00,0.8906041666666666,0.9491117378472224,0.8856875,0.9427190651041667
0.7,0.25,1,election2020,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_election2020_to_election2020_pl_3shot_01_09_2026_01_10_00,0.9505,0.985797,0.95475,0.98513125
0.7,0.25,1,election2020,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_election2020_to_facebook_page_reference_pl_3shot_01_09_2026_01_10_37,0.11627916666666667,0.7279336619971264,0.1144875,0.7250178185793821
0.7,0.25,1,election2020,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_election2020_to_twibot20_pl_3shot_01_09_2026_01_10_37,0.7252916666666667,0.8090127022569444,0.7209791666666666,0.7995531319444444
0.7,0.25,1,election2020,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_election2020_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_13_04,0.54125,0.562289375,0.541,0.558887
0.7,0.25,1,facebook_page_reference,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_facebook_page_reference_to_covid_political_pl_3shot_01_09_2026_01_09_59,0.9085208333333333,0.9567682881944445,0.9055208333333333,0.9537729644097223
0.7,0.25,1,facebook_page_reference,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_facebook_page_reference_to_election2020_pl_3shot_01_09_2026_01_10_00,0.97875,0.990145125,0.9785,0.9891249999999999
0.7,0.25,1,facebook_page_reference,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_facebook_page_reference_to_facebook_page_reference_pl_3shot_01_09_2026_01_10_44,0.05343333333333333,0.5528785380747127,0.05155,0.5543050143049569
0.7,0.25,1,facebook_page_reference,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_facebook_page_reference_to_twibot20_pl_3shot_01_09_2026_01_10_44,0.7378333333333333,0.8134248003472222,0.7285833333333334,0.8085937309027778
