state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
initial,2,mixed,ukr_rus_twitter,0.8124557102347397,False,0.1570599846031708,1.0,0.006376020610332489,0.07761823572218417,0.01686850674450399,0.9897437653541565,0.028081560134884942
initial,2,mixed,facebook_page_reference,0.8124557102347397,False,0.1570599846031708,1.0,-0.08508646488189697,0.37319627404212946,-0.08713313043117521,0.8960884220600128,0.3622069358825586
initial,2,corrected,ukr_rus_twitter,0.8124557102347397,False,0.1570599846031708,1.0,0.006376020610332489,0.07761823572218417,0.01686850674450399,0.9897437653541565,0.028081560134884942
initial,2,corrected,facebook_page_reference,0.8124557102347397,False,0.1570599846031708,1.0,-0.08508646488189697,0.37319627404212946,-0.08713313043117521,0.8960884220600128,0.3622069358825586
initial,2,mixed_norm_matched,ukr_rus_twitter,0.8124557102347397,False,0.1570599846031708,1.0,0.006376020610332489,0.07761823572218417,0.01686850674450399,0.9897437653541565,0.028081560134884942
initial,2,mixed_norm_matched,facebook_page_reference,0.8124557102347397,False,0.1570599846031708,1.0,-0.08508646488189697,0.37319627404212946,-0.08713313043117521,0.8960884220600128,0.3622069358825586
initial,3,mixed,ukr_rus_twitter,0.7741943016689875,False,0.1596450621412328,1.0,0.012977078557014465,0.07761823572218417,0.016733758151531233,0.9897437653541565,0.02977192401885098
initial,3,mixed,facebook_page_reference,0.7741943016689875,False,0.1596450621412328,1.0,-0.09462106227874756,0.37319627404212946,-0.08775025308132162,0.8960884220600128,0.35546555519104794
initial,3,corrected,ukr_rus_twitter,0.7741943016689875,False,0.1596450621412328,1.0,0.012977078557014465,0.07761823572218417,0.016733758151531233,0.9897437653541565,0.02977192401885098
initial,3,corrected,facebook_page_reference,0.7741943016689875,False,0.1596450621412328,1.0,-0.09462106227874756,0.37319627404212946,-0.08775025308132162,0.8960884220600128,0.35546555519104794
initial,3,mixed_norm_matched,ukr_rus_twitter,0.7741943016689875,False,0.1596450621412328,1.0,0.012977078557014465,0.07761823572218417,0.016733758151531233,0.9897437653541565,0.02977192401885098
initial,3,mixed_norm_matched,facebook_page_reference,0.7741943016689875,False,0.1596450621412328,1.0,-0.09462106227874756,0.37319627404212946,-0.08775025308132162,0.8960884220600128,0.35546555519104794
initial,4,mixed,ukr_rus_twitter,0.4949252866928881,False,0.14412836000573181,1.0,0.015035517513751984,0.07761823572218417,0.011962339654564877,0.9897437653541565,0.030807423591594496
initial,4,mixed,facebook_page_reference,0.4949252866928881,False,0.14412836000573181,1.0,-0.08178606629371643,0.37319627404212946,-0.08314026594161972,0.8960884220600128,0.3223799943923855
initial,4,corrected,ukr_rus_twitter,0.4949252866928881,False,0.14412836000573181,1.0,0.015035517513751984,0.07761823572218417,0.011962339654564877,0.9897437653541565,0.030807423591594496
initial,4,corrected,facebook_page_reference,0.4949252866928881,False,0.14412836000573181,1.0,-0.08178606629371643,0.37319627404212946,-0.08314026594161972,0.8960884220600128,0.3223799943923855
initial,4,mixed_norm_matched,ukr_rus_twitter,0.4949252866928881,False,0.14412836000573181,1.0,0.015035517513751984,0.07761823572218417,0.011962339654564877,0.9897437653541565,0.030807423591594496
initial,4,mixed_norm_matched,facebook_page_reference,0.4949252866928881,False,0.14412836000573181,1.0,-0.08178606629371643,0.37319627404212946,-0.08314026594161972,0.8960884220600128,0.3223799943923855
initial,5,mixed,ukr_rus_twitter,0.5862205123009159,False,0.15076004228698847,1.0,0.015120267868041992,0.07761823572218417,0.013148943334817892,0.9897437653541565,0.031512594223015444
initial,5,mixed,facebook_page_reference,0.5862205123009159,False,0.15076004228698847,1.0,-0.08662760257720947,0.37319627404212946,-0.08514871597290036,0.8960884220600128,0.3497309446334751
initial,5,corrected,ukr_rus_twitter,0.5862205123009159,False,0.15076004228698847,1.0,0.015120267868041992,0.07761823572218417,0.013148943334817892,0.9897437653541565,0.031512594223015444
initial,5,corrected,facebook_page_reference,0.5862205123009159,False,0.15076004228698847,1.0,-0.08662760257720947,0.37319627404212946,-0.08514871597290036,0.8960884220600128,0.3497309446334751
