accuracy	architecture	baseline	checkpoint_step	dataset	episode_fingerprint	episodes	eval_episode_seed_offset	f1	model_id	n_query	n_shot	n_way	queries	roc_auc	seed	sources	task	training_seed	result_file	aux_loss	checkpoint	evaluation_seed	loss	score	score_std
0.984375	gilt	pretrained	900	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.9844961240310077	ss_election2020	1	10	2	256	0.9849853515625	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step900.jsonl						
0.515625	gilt	pretrained	900	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.5184466019417475	ss_election2020	12	10	2	3072	0.5226457383897569	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step900.jsonl						
0.5986328125	gilt	pretrained	900	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5934718100890207	ss_election2020	4	10	2	1024	0.6333427429199219	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step900.jsonl						
0.6057942708333334	gilt	pretrained	100	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.585982905982906	ss_facebook_page_reference	12	10	2	3072	0.6452556208030884	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step100.jsonl						
0.4765625	gilt	pretrained	100	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5037037037037037	ss_facebook_page_reference	1	10	2	256	0.472900390625	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step100.jsonl						
0.55078125	gilt	pretrained	100	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.5593869731800766	ss_facebook_page_reference	1	10	2	256	0.63580322265625	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step100.jsonl						
0.5279947916666666	gilt	pretrained	100	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.5480049875311721	ss_facebook_page_reference	12	10	2	3072	0.545704099867079	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step100.jsonl						
0.6826171875	gilt	pretrained	100	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.6878001921229587	ss_facebook_page_reference	4	10	2	1024	0.7442359924316406	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step100.jsonl						
0.2815755208333333	gilt	pretrained	20	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.30091859360152046	ss_facebook_page_reference	12	10	2	3072	0.31039559715085774	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step20.jsonl						
0.51171875	gilt	pretrained	20	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5098039215686274	ss_facebook_page_reference	1	10	2	256	0.4971923828125	0	['facebook_page_reference']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_facebook_page_reference_s0_o0_step20.jsonl						
