arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
covid,40000,classification,election2020,,roc_auc,0.9846320000000001,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_election2020_pl_10shot_01_08_2026_13_35_18/data/metrics_test_step0.json
covid,40000,classification,twibot20,,roc_auc,0.5971999305555555,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_twibot20_pl_10shot_01_08_2026_13_40_14/data/metrics_test_step0.json
covid,40000,classification,ukr_rus_suspended,,roc_auc,0.511888,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_28/data/metrics_test_step0.json
ukr,0,classification,covid_political,,roc_auc,0.434448,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json
ukr,0,classification,election2020,,roc_auc,0.476256,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json
ukr,0,classification,twibot20,,roc_auc,0.5117863055555556,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_twibot20_pl_10shot_01_08_2026_13_37_36/data/metrics_test_step0.json
ukr,0,classification,ukr_rus_suspended,,roc_auc,0.5101600000000001,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_19/data/metrics_test_step0.json
ukr,100,classification,covid_political,,roc_auc,0.6084380555555555,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_covid_political_pl_10shot_01_08_2026_13_30_38/data/metrics_test_step0.json
ukr,100,classification,election2020,,roc_auc,0.51942,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_election2020_pl_10shot_01_08_2026_13_33_48/data/metrics_test_step0.json
ukr,100,classification,twibot20,,roc_auc,0.6997015277777778,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_twibot20_pl_10shot_01_08_2026_13_38_43/data/metrics_test_step0.json
