arm,step,task,dataset,target,metric,value_h2,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path,value_h1,delta_h2_minus_h1
ukr,0,classification,covid_political,,roc_auc,0.434448,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json,0.4291496805555556,0.0052983194444444215
ukr,0,classification,election2020,,roc_auc,0.476256,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json,0.402656,0.0736
ukr,0,classification,twibot20,,roc_auc,0.5117863055555556,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_twibot20_pl_10shot_01_08_2026_13_37_36/data/metrics_test_step0.json,0.5494334444444444,-0.03764713888888882
ukr,0,classification,ukr_rus_suspended,,roc_auc,0.5101600000000001,sat_h2m_ukr_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_19/data/metrics_test_step0.json,0.518576,-0.008415999999999979
ukr,100,classification,covid_political,,roc_auc,0.6084380555555555,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_covid_political_pl_10shot_01_08_2026_13_30_38/data/metrics_test_step0.json,0.5992570416666666,0.009181013888888923
ukr,100,classification,election2020,,roc_auc,0.51942,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_election2020_pl_10shot_01_08_2026_13_33_48/data/metrics_test_step0.json,0.5213920000000001,-0.001972000000000085
ukr,100,classification,twibot20,,roc_auc,0.6997015277777778,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_twibot20_pl_10shot_01_08_2026_13_38_43/data/metrics_test_step0.json,0.6764087222222221,0.023292805555555685
ukr,100,classification,ukr_rus_suspended,,roc_auc,0.48353799999999997,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_10/data/metrics_test_step0.json,0.491178,-0.007640000000000036
ukr,500,classification,covid_political,,roc_auc,0.9138680694444444,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_covid_political_pl_10shot_01_08_2026_13_30_39/data/metrics_test_step0.json,0.8154864027777777,0.0983816666666667
ukr,500,classification,election2020,,roc_auc,0.98058,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_election2020_pl_10shot_01_08_2026_13_34_02/data/metrics_test_step0.json,0.9641,0.01648000000000005
