target,family,checkpoint_step,metric,seeds,mean,sample_std
covid_political,leave_one_out,2500,accuracy,3,0.7369340046449339,0.017309684059080926
covid_political,leave_one_out,2500,f1_macro,3,0.6989121096968893,0.016360794280553058
covid_political,leave_one_out,2500,roc_auc_ovr_macro,3,0.8423613514867977,0.010895672143727612
covid_political,specialist,100,accuracy,3,0.8591050873891742,0.00945566744175229
covid_political,specialist,100,f1_macro,3,0.8258125743987591,0.00935998061995937
covid_political,specialist,100,roc_auc_ovr_macro,3,0.9264577468147724,0.0009795018051244892
covid_political,specialist,300,accuracy,3,0.8136559358524472,0.00721864423591854
covid_political,specialist,300,f1_macro,3,0.7818378833378103,0.006963381358046911
covid_political,specialist,300,roc_auc_ovr_macro,3,0.9180048107909805,0.0025325398447389002
covid_political,specialist,900,accuracy,3,0.8095619522283816,0.014153075602023548
covid_political,specialist,900,f1_macro,3,0.7766724608721921,0.012562574168863238
covid_political,specialist,900,roc_auc_ovr_macro,3,0.9099277635616024,0.0015171388911603676
covid_political,specialist,2500,accuracy,3,0.7941056807201342,0.012478961600638857
covid_political,specialist,2500,f1_macro,3,0.7614221141802421,0.00963574927220345
covid_political,specialist,2500,roc_auc_ovr_macro,3,0.902122296686477,0.00287987302292065
election2020,leave_one_out,100,accuracy,3,0.8011793728034604,0.004432954221525132
election2020,leave_one_out,100,f1_macro,3,0.7998807732929181,0.004539001371332419
election2020,leave_one_out,100,roc_auc_ovr_macro,3,0.8856184618305624,0.0033891479791799705
election2020,leave_one_out,300,accuracy,3,0.8585808664503919,0.003541967341702339
election2020,leave_one_out,300,f1_macro,3,0.857698935185082,0.0035981798473940017
election2020,leave_one_out,300,roc_auc_ovr_macro,3,0.9339485636202983,0.0019692373189181497
election2020,leave_one_out,900,accuracy,3,0.9523224182211409,0.0009986525262933147
election2020,leave_one_out,900,f1_macro,3,0.9521552025153142,0.0009941623493939563
election2020,leave_one_out,900,roc_auc_ovr_macro,3,0.9806765491083299,6.384399797953304e-05
election2020,leave_one_out,2500,accuracy,3,0.9695230129764801,0.00018667528212003428
election2020,leave_one_out,2500,f1_macro,3,0.9693597860574193,0.00018655971166869686
election2020,leave_one_out,2500,roc_auc_ovr_macro,3,0.9830175934560889,1.2669528273218872e-05
election2020,specialist,100,accuracy,3,0.963300892133009,0.00041703372546394714
election2020,specialist,100,f1_macro,3,0.9631266480827062,0.0004179503631258887
election2020,specialist,100,roc_auc_ovr_macro,3,0.9823437233696163,0.00011777236369536527
election2020,specialist,300,accuracy,3,0.9478364084887807,0.001622373494436663
election2020,specialist,300,f1_macro,3,0.947439382229364,0.0016442711830886325
election2020,specialist,300,roc_auc_ovr_macro,3,0.9739186577296071,0.0004914737466855985
election2020,specialist,900,accuracy,3,0.9344755339280887,0.004252951380848487
election2020,specialist,900,f1_macro,3,0.9336869940491715,0.004341384274673525
election2020,specialist,900,roc_auc_ovr_macro,3,0.9719958215538022,0.0013265160188635887
election2020,specialist,2500,accuracy,3,0.9317298594214652,0.003534205915239645
election2020,specialist,2500,f1_macro,3,0.930829509535891,0.0036688316453997354
election2020,specialist,2500,roc_auc_ovr_macro,3,0.9711300225284741,0.0003605418677115444
facebook_page_reference,leave_one_out,100,accuracy,3,0.21498793249652884,0.007887417846358902
facebook_page_reference,leave_one_out,100,f1_macro,3,0.16247040099742077,0.0016729437671573508
facebook_page_reference,leave_one_out,100,roc_auc_ovr_macro,3,0.8011357882926128,0.0012735100432851466
facebook_page_reference,leave_one_out,300,accuracy,3,0.17893141247254915,0.004863296569182315
facebook_page_reference,leave_one_out,300,f1_macro,3,0.11626982062755668,0.0021050559043732696
facebook_page_reference,leave_one_out,300,roc_auc_ovr_macro,3,0.7509950733260586,0.0030581602063849485
facebook_page_reference,leave_one_out,900,accuracy,3,0.1774404467927154,0.005318201226798989
facebook_page_reference,leave_one_out,900,f1_macro,3,0.13553178234951577,0.003419149705353192
facebook_page_reference,leave_one_out,900,roc_auc_ovr_macro,3,0.759476393028517,0.0032013981117232607
facebook_page_reference,leave_one_out,2500,accuracy,3,0.20453564184519427,0.003751637454088468
facebook_page_reference,leave_one_out,2500,f1_macro,3,0.1677907136798381,0.002171109995007593
