arm,rung,metric,seed_count,mean,min,max,sd
schedule,5,nm_included,3,0.8769552210738375,0.8757615269737681,0.8781400685200745,0.001189295450819307
schedule,5,nm_future_sources,3,0.7889912595237351,0.7884750871366011,0.7898795707929179,0.0007726636369499323
schedule,5,nm_heldout_twibot,3,0.8971820841347121,0.8952940258486517,0.900310909337011,0.0027289021399213085
schedule,5,cls_fixed_panel,3,0.7556074966619044,0.7450942286738643,0.7657506024395978,0.010333160665251324
schedule,6,nm_fixed_panel,3,0.857051404367969,0.8538484891103449,0.8630618812328401,0.005208977849307868
schedule,6,nm_included,3,0.877089811726396,0.873029953857948,0.8836047210684225,0.005698849330555394
schedule,6,nm_future_sources,3,0.7770424549607023,0.7712428268344922,0.7839892257904184,0.006450164639182786
schedule,6,nm_heldout_twibot,3,0.8968388590319404,0.894666054331023,0.8979501531041902,0.0018818686986769512
schedule,6,cls_fixed_panel,3,0.7478003325285735,0.7399280689380786,0.7545624768292463,0.007380091273791527
schedule,7,nm_fixed_panel,3,0.8573724224903371,0.8551927993428509,0.8587417138338393,0.0019081867677190295
schedule,7,nm_included,3,0.8536719600620594,0.8529426685499245,0.8543173067675435,0.0006911530982766285
schedule,7,nm_future_sources,3,0.8459146737595628,0.8435099009809824,0.8474809954906332,0.0021141542092400576
schedule,7,nm_heldout_twibot,3,0.894733408219056,0.8826266132552046,0.9017011523246765,0.010524585168585756
schedule,7,cls_fixed_panel,3,0.7523108729609737,0.7409208368372033,0.7600997359664352,0.01008384246323469
schedule,8,nm_fixed_panel,3,0.8548994778571813,0.8536291143598836,0.85598557012139,0.0011889860615214062
schedule,8,nm_included,3,0.8510148489212624,0.849742973570166,0.8527691457634684,0.001569706153135799
schedule,8,nm_future_sources,0,,,,
schedule,8,nm_heldout_twibot,3,0.8859765093445321,0.8817169649847624,0.8914943223712087,0.005008653451194653
schedule,8,cls_fixed_panel,3,0.753481627099308,0.7364468468560114,0.769321780734592,0.0164699929851136
