model,order,rung,training_seed,target,roc_auc,fingerprint
PRODIGY,B,1,2,covid_political,0.7567463627567996,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,1,2,election2020,0.970458984375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,1,2,facebook_page_reference,0.6566963195800781,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,1,2,twibot20,0.6145733727349176,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,1,2,ukr_rus_suspended,0.4752197265625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,2,0,covid_political,0.8767779314959491,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,2,0,election2020,0.98260498046875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,2,0,facebook_page_reference,0.623687744140625,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,2,0,twibot20,0.5689883761935763,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,2,0,ukr_rus_suspended,0.4700927734375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,2,1,covid_political,0.8952648021556713,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,2,1,election2020,0.98480224609375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,2,1,facebook_page_reference,0.6401939392089844,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,2,1,twibot20,0.6148554484049479,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,2,1,ukr_rus_suspended,0.44537353515625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,2,2,covid_political,0.8909375226056135,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,2,2,election2020,0.98883056640625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,2,2,facebook_page_reference,0.6496086120605469,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,2,2,twibot20,0.6500303480360243,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,2,2,ukr_rus_suspended,0.47064208984375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,3,0,covid_political,0.930259422019676,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,3,0,election2020,0.99212646484375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,3,0,facebook_page_reference,0.7022590637207031,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,3,0,twibot20,0.6236563788519965,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,3,0,ukr_rus_suspended,0.5126953125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,3,1,covid_political,0.919517234519676,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
