source,target,roc_auc,sample_std,seeds,model,objective,checkpoint_step,protocol,available
all9,covid_political,0.9268093344606,,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
all9,election2020,0.9915771484375,,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
all9,facebook_page_reference,0.7801094055175781,,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
all9,twibot20,0.6229678259955512,,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
all9,ukr_rus_suspended,0.48443603515625,,3,PRODIGY,neighbor matching,2500,128 fixed 10-shot episodes,True
all9,covid_political,0.8485294384181098,,3,VISION,feature similarity,900,128 fixed 10-shot episodes,True
all9,election2020,0.9596150716145834,,3,VISION,feature similarity,900,128 fixed 10-shot episodes,True
all9,facebook_page_reference,0.8828411102294922,,3,VISION,feature similarity,900,128 fixed 10-shot episodes,True
all9,twibot20,0.5848509470621744,,3,VISION,feature similarity,900,128 fixed 10-shot episodes,True
all9,ukr_rus_suspended,0.5395304361979166,,3,VISION,feature similarity,900,128 fixed 10-shot episodes,True
all9,covid_political,0.7591688368055555,,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
all9,election2020,0.716796875,,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
all9,ukr_rus_suspended,0.5232837818287037,,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
all9,twibot20,0.6983416521990741,,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
all9,facebook_page_reference,0.7299792319371274,,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
all9,covid_political,0.8773585974825169,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
all9,election2020,0.9794825350686436,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
all9,facebook_page_reference,0.7904145602361328,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
all9,twibot20,0.5516285810406074,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
all9,ukr_rus_suspended,0.5120075981623238,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
