consumed_episodes,exposure_episodes,model_id,source,training_steps
10000,0.0,nmi_positives_r2_s0,cp_hk,10000
10000,0.0,nmi_positives_r2_s0,facebook_page_reference,10000
10000,4983.0,nmi_negatives_r2_s0,ukr_rus,10000
10000,5017.0,nmi_negatives_r2_s0,covid,10000
10000,0.0,nmi_negatives_r2_s0,midterm,10000
10000,0.0,nmi_negatives_r2_s0,covid_political,10000
10000,0.0,nmi_negatives_r2_s0,election2020,10000
10000,0.0,nmi_negatives_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_negatives_r2_s0,twibot20,10000
10000,0.0,nmi_negatives_r2_s0,cp_hk,10000
10000,0.0,nmi_negatives_r2_s0,facebook_page_reference,10000
10000,4894.0,nmi_context_r2_s0,ukr_rus,10000
10000,5106.0,nmi_context_r2_s0,covid,10000
10000,0.0,nmi_context_r2_s0,midterm,10000
10000,0.0,nmi_context_r2_s0,covid_political,10000
10000,0.0,nmi_context_r2_s0,election2020,10000
10000,0.0,nmi_context_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_context_r2_s0,twibot20,10000
10000,0.0,nmi_context_r2_s0,cp_hk,10000
10000,0.0,nmi_context_r2_s0,facebook_page_reference,10000
10000,4894.0,nmi_optimization_r2_s0,ukr_rus,10000
10000,5106.0,nmi_optimization_r2_s0,covid,10000
10000,0.0,nmi_optimization_r2_s0,midterm,10000
10000,0.0,nmi_optimization_r2_s0,covid_political,10000
10000,0.0,nmi_optimization_r2_s0,election2020,10000
10000,0.0,nmi_optimization_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_optimization_r2_s0,twibot20,10000
10000,0.0,nmi_optimization_r2_s0,cp_hk,10000
10000,0.0,nmi_optimization_r2_s0,facebook_page_reference,10000
10000,4894.0,nmi_alignment_r2_s0,ukr_rus,10000
10000,5106.0,nmi_alignment_r2_s0,covid,10000
10000,0.0,nmi_alignment_r2_s0,midterm,10000
10000,0.0,nmi_alignment_r2_s0,covid_political,10000
10000,0.0,nmi_alignment_r2_s0,election2020,10000
10000,0.0,nmi_alignment_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_alignment_r2_s0,twibot20,10000
10000,0.0,nmi_alignment_r2_s0,cp_hk,10000
10000,0.0,nmi_alignment_r2_s0,facebook_page_reference,10000
8000,3917.0,nmi_sharing_r2_s0,ukr_rus,8000
8000,4083.0,nmi_sharing_r2_s0,covid,8000
8000,0.0,nmi_sharing_r2_s0,midterm,8000
8000,0.0,nmi_sharing_r2_s0,covid_political,8000
8000,0.0,nmi_sharing_r2_s0,election2020,8000
8000,0.0,nmi_sharing_r2_s0,ukr_rus_suspended,8000
8000,0.0,nmi_sharing_r2_s0,twibot20,8000
8000,0.0,nmi_sharing_r2_s0,cp_hk,8000
8000,0.0,nmi_sharing_r2_s0,facebook_page_reference,8000
8000,3919.0,nmi_capacity_r2_s0,ukr_rus,8000
8000,4081.0,nmi_capacity_r2_s0,covid,8000
8000,0.0,nmi_capacity_r2_s0,midterm,8000
8000,0.0,nmi_capacity_r2_s0,covid_political,8000
8000,0.0,nmi_capacity_r2_s0,election2020,8000
8000,0.0,nmi_capacity_r2_s0,ukr_rus_suspended,8000
8000,0.0,nmi_capacity_r2_s0,twibot20,8000
8000,0.0,nmi_capacity_r2_s0,cp_hk,8000
8000,0.0,nmi_capacity_r2_s0,facebook_page_reference,8000
10000,4894.0,nmi_objective_r2_s0,ukr_rus,10000
10000,5106.0,nmi_objective_r2_s0,covid,10000
10000,0.0,nmi_objective_r2_s0,midterm,10000
10000,0.0,nmi_objective_r2_s0,covid_political,10000
10000,0.0,nmi_objective_r2_s0,election2020,10000
10000,0.0,nmi_objective_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_objective_r2_s0,twibot20,10000
10000,0.0,nmi_objective_r2_s0,cp_hk,10000
10000,0.0,nmi_objective_r2_s0,facebook_page_reference,10000
10000,4933.0,nmi_region_adaptive_r2_s0,ukr_rus,10000
10000,5067.0,nmi_region_adaptive_r2_s0,covid,10000
10000,0.0,nmi_region_adaptive_r2_s0,midterm,10000
10000,0.0,nmi_region_adaptive_r2_s0,covid_political,10000
10000,0.0,nmi_region_adaptive_r2_s0,election2020,10000
10000,0.0,nmi_region_adaptive_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_region_adaptive_r2_s0,twibot20,10000
10000,0.0,nmi_region_adaptive_r2_s0,cp_hk,10000
10000,0.0,nmi_region_adaptive_r2_s0,facebook_page_reference,10000
10000,4955.0,nmi_coverage_r2_s0,ukr_rus,10000
10000,5045.0,nmi_coverage_r2_s0,covid,10000
10000,0.0,nmi_coverage_r2_s0,midterm,10000
10000,0.0,nmi_coverage_r2_s0,covid_political,10000
10000,0.0,nmi_coverage_r2_s0,election2020,10000
10000,0.0,nmi_coverage_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_coverage_r2_s0,twibot20,10000
10000,0.0,nmi_coverage_r2_s0,cp_hk,10000
10000,0.0,nmi_coverage_r2_s0,facebook_page_reference,10000
2500,1229.0,nmi_budget_r2_s0,ukr_rus,2500
2500,1271.0,nmi_budget_r2_s0,covid,2500
2500,0.0,nmi_budget_r2_s0,midterm,2500
2500,0.0,nmi_budget_r2_s0,covid_political,2500
2500,0.0,nmi_budget_r2_s0,election2020,2500
2500,0.0,nmi_budget_r2_s0,ukr_rus_suspended,2500
2500,0.0,nmi_budget_r2_s0,twibot20,2500
2500,0.0,nmi_budget_r2_s0,cp_hk,2500
