episodes,loss,model_id,seconds,step
6700,2.0064013051986693,nmi_budget_r8_s0,345.00787711143494,6700
6800,1.8667294949293136,nmi_budget_r8_s0,349.7853262424469,6800
6900,1.8738234722614289,nmi_budget_r8_s0,354.57013845443726,6900
7000,1.8715026050806045,nmi_budget_r8_s0,359.2014365196228,7000
7100,1.7786679673194885,nmi_budget_r8_s0,363.9587161540985,7100
7200,1.8405905932188034,nmi_budget_r8_s0,369.06107926368713,7200
7300,1.8046189320087433,nmi_budget_r8_s0,374.0851390361786,7300
7400,1.7760325771570207,nmi_budget_r8_s0,379.1872401237488,7400
7500,1.8681932532787322,nmi_budget_r8_s0,383.8617022037506,7500
7600,1.8379800510406494,nmi_budget_r8_s0,388.8552665710449,7600
7700,1.8826582539081573,nmi_budget_r8_s0,393.8397183418274,7700
7800,1.8063646405935287,nmi_budget_r8_s0,398.48767948150635,7800
7900,1.890660508275032,nmi_budget_r8_s0,403.4021146297455,7900
8000,1.8568951797485351,nmi_budget_r8_s0,408.3648874759674,8000
8100,1.879626049399376,nmi_budget_r8_s0,417.9593026638031,8100
8200,1.8770905578136443,nmi_budget_r8_s0,422.99730825424194,8200
8300,1.8002155327796936,nmi_budget_r8_s0,428.0386142730713,8300
8400,1.861670194864273,nmi_budget_r8_s0,433.1023952960968,8400
8500,1.7669236686825753,nmi_budget_r8_s0,438.11465072631836,8500
8600,1.8235742783546447,nmi_budget_r8_s0,443.15459060668945,8600
8700,1.8551319873332976,nmi_budget_r8_s0,448.21772170066833,8700
8800,1.8699623799324037,nmi_budget_r8_s0,453.22153759002686,8800
8900,1.9289433205127715,nmi_budget_r8_s0,458.2997007369995,8900
9000,1.909450597167015,nmi_budget_r8_s0,463.0489320755005,9000
9100,1.7710333254933357,nmi_budget_r8_s0,467.8919403553009,9100
9200,1.8389312362670898,nmi_budget_r8_s0,472.62623047828674,9200
9300,1.9456230920553208,nmi_budget_r8_s0,477.39715480804443,9300
9400,1.8921416258811952,nmi_budget_r8_s0,482.48588347435,9400
9500,1.8371391636133194,nmi_budget_r8_s0,487.2749342918396,9500
9600,1.8270248928666115,nmi_budget_r8_s0,492.301575422287,9600
9700,1.7235826271772385,nmi_budget_r8_s0,497.38901019096375,9700
9800,1.8206304585933686,nmi_budget_r8_s0,502.24796772003174,9800
9900,1.794100753068924,nmi_budget_r8_s0,507.29495191574097,9900
10000,1.8107387071847916,nmi_budget_r8_s0,512.0583970546722,10000
1,3.3952481746673584,nmi_baseline_r1_s0,3.3027560710906982,1
100,3.3326083578244603,nmi_baseline_r1_s0,8.690619945526123,100
200,3.086578071117401,nmi_baseline_r1_s0,13.393350601196289,200
300,2.754715440273285,nmi_baseline_r1_s0,18.59220266342163,300
400,2.4987320744991304,nmi_baseline_r1_s0,24.001350164413452,400
500,2.2768043267726896,nmi_baseline_r1_s0,29.163567304611206,500
600,2.129303869009018,nmi_baseline_r1_s0,34.36043834686279,600
700,1.9983386123180389,nmi_baseline_r1_s0,39.716068267822266,700
800,1.978385694026947,nmi_baseline_r1_s0,45.0851948261261,800
900,1.8978374898433685,nmi_baseline_r1_s0,50.580870628356934,900
1000,1.8957728004455567,nmi_baseline_r1_s0,55.680328369140625,1000
1100,1.8520636463165283,nmi_baseline_r1_s0,60.98419737815857,1100
1200,1.8554637110233307,nmi_baseline_r1_s0,66.28575491905212,1200
1300,1.8594649803638459,nmi_baseline_r1_s0,71.58325266838074,1300
1400,1.839273327589035,nmi_baseline_r1_s0,77.07066631317139,1400
1500,1.7967636501789093,nmi_baseline_r1_s0,82.26882648468018,1500
1600,1.7957885980606079,nmi_baseline_r1_s0,87.3484218120575,1600
1700,1.7781386601924896,nmi_baseline_r1_s0,92.29907631874084,1700
1800,1.7949208796024323,nmi_baseline_r1_s0,97.21322894096375,1800
1900,1.7722117400169373,nmi_baseline_r1_s0,102.23306727409363,1900
2000,1.806942971944809,nmi_baseline_r1_s0,107.45476460456848,2000
2100,1.7454180657863616,nmi_baseline_r1_s0,113.65494108200073,2100
2200,1.7604952192306518,nmi_baseline_r1_s0,118.89621376991272,2200
2300,1.725927597284317,nmi_baseline_r1_s0,124.31304383277893,2300
2400,1.7432102370262146,nmi_baseline_r1_s0,129.5435175895691,2400
2500,1.7578926467895508,nmi_baseline_r1_s0,135.04855704307556,2500
2600,1.7367023241519928,nmi_baseline_r1_s0,140.3319342136383,2600
2700,1.7415709388256073,nmi_baseline_r1_s0,145.57433009147644,2700
2800,1.7413560724258423,nmi_baseline_r1_s0,150.8549234867096,2800
2900,1.6852889227867127,nmi_baseline_r1_s0,156.16362357139587,2900
3000,1.7513815069198608,nmi_baseline_r1_s0,161.43370842933655,3000
3100,1.6731163895130157,nmi_baseline_r1_s0,166.736567735672,3100
3200,1.7212481951713563,nmi_baseline_r1_s0,171.8463807106018,3200
3300,1.7267999625205994,nmi_baseline_r1_s0,177.06397080421448,3300
3400,1.7184351885318756,nmi_baseline_r1_s0,182.18277764320374,3400
3500,1.6657595121860505,nmi_baseline_r1_s0,187.43359756469727,3500
3600,1.7033248555660248,nmi_baseline_r1_s0,192.55168342590332,3600
3700,1.6676387465000153,nmi_baseline_r1_s0,197.62410068511963,3700
3800,1.7011451959609984,nmi_baseline_r1_s0,202.74362325668335,3800
3900,1.6553841638565063,nmi_baseline_r1_s0,207.8267114162445,3900
4000,1.7123004758358003,nmi_baseline_r1_s0,213.03994369506836,4000
4100,1.6892501986026764,nmi_baseline_r1_s0,219.02367162704468,4100
4200,1.6507886791229247,nmi_baseline_r1_s0,224.24954795837402,4200
4300,1.7054232585430145,nmi_baseline_r1_s0,229.52544569969177,4300
4400,1.655142970085144,nmi_baseline_r1_s0,234.64603757858276,4400
4500,1.6754590058326722,nmi_baseline_r1_s0,239.83923029899597,4500
4600,1.6243563938140868,nmi_baseline_r1_s0,244.8772099018097,4600
4700,1.623478776216507,nmi_baseline_r1_s0,249.98855566978455,4700
4800,1.6573425078392028,nmi_baseline_r1_s0,255.1084542274475,4800
4900,1.615079427957535,nmi_baseline_r1_s0,260.1529743671417,4900
5000,1.6627499568462372,nmi_baseline_r1_s0,265.2748007774353,5000
5100,1.617917799949646,nmi_baseline_r1_s0,270.28054022789,5100
5200,1.644785634279251,nmi_baseline_r1_s0,275.2988429069519,5200
5300,1.571830575466156,nmi_baseline_r1_s0,280.25259256362915,5300
5400,1.6172330009937286,nmi_baseline_r1_s0,285.10556864738464,5400
5500,1.6219657933712006,nmi_baseline_r1_s0,289.9923417568207,5500
5600,1.5954391872882843,nmi_baseline_r1_s0,295.0936052799225,5600
5700,1.6190883553028106,nmi_baseline_r1_s0,300.11514544487,5700
5800,1.6135761845111847,nmi_baseline_r1_s0,304.96185207366943,5800
5900,1.5906376802921296,nmi_baseline_r1_s0,309.8879647254944,5900
6000,1.5817990076541901,nmi_baseline_r1_s0,314.84856486320496,6000
6100,1.6017626440525055,nmi_baseline_r1_s0,320.4439160823822,6100
6200,1.5510882568359374,nmi_baseline_r1_s0,325.2816915512085,6200
6300,1.5828962165117264,nmi_baseline_r1_s0,330.32912611961365,6300
6400,1.5924451792240142,nmi_baseline_r1_s0,335.23080945014954,6400
6500,1.6189403820037842,nmi_baseline_r1_s0,340.2880434989929,6500
6600,1.6026707673072815,nmi_baseline_r1_s0,345.0980644226074,6600
6700,1.5734260165691376,nmi_baseline_r1_s0,349.93333888053894,6700
6800,1.5759786677360534,nmi_baseline_r1_s0,354.8158633708954,6800
6900,1.5772432398796081,nmi_baseline_r1_s0,359.68857526779175,6900
7000,1.5681896948814391,nmi_baseline_r1_s0,364.9318137168884,7000
7100,1.6318252539634706,nmi_baseline_r1_s0,370.74595046043396,7100
7200,1.5956973612308503,nmi_baseline_r1_s0,376.39541816711426,7200
7300,1.6035995221138,nmi_baseline_r1_s0,381.9521462917328,7300
7400,1.5600873804092408,nmi_baseline_r1_s0,387.69500279426575,7400
7500,1.5331841504573822,nmi_baseline_r1_s0,393.1970684528351,7500
7600,1.571355687379837,nmi_baseline_r1_s0,398.6241087913513,7600
7700,1.576060005426407,nmi_baseline_r1_s0,403.91882371902466,7700
7800,1.5781333446502686,nmi_baseline_r1_s0,409.1604597568512,7800
7900,1.5631522256135941,nmi_baseline_r1_s0,414.4749789237976,7900
8000,1.5486178636550902,nmi_baseline_r1_s0,419.74968123435974,8000
8100,1.583747514486313,nmi_baseline_r1_s0,426.5718653202057,8100
8200,1.5664084041118622,nmi_baseline_r1_s0,432.10358214378357,8200
8300,1.554361664056778,nmi_baseline_r1_s0,438.12159514427185,8300
8400,1.5409391474723817,nmi_baseline_r1_s0,443.65198373794556,8400
8500,1.5691338181495667,nmi_baseline_r1_s0,449.358273267746,8500
8600,1.5322717237472534,nmi_baseline_r1_s0,454.9603383541107,8600
8700,1.5797036230564117,nmi_baseline_r1_s0,460.388160943985,8700
8800,1.5441452085971832,nmi_baseline_r1_s0,465.8372459411621,8800
8900,1.5393655073642731,nmi_baseline_r1_s0,471.1991775035858,8900
9000,1.5199846827983856,nmi_baseline_r1_s0,476.6232225894928,9000
9100,1.5544614350795747,nmi_baseline_r1_s0,481.8575494289398,9100
9200,1.5346151959896088,nmi_baseline_r1_s0,487.3481478691101,9200
9300,1.5341493475437165,nmi_baseline_r1_s0,492.8873906135559,9300
9400,1.5521267181634903,nmi_baseline_r1_s0,498.4398412704468,9400
9500,1.5499016106128694,nmi_baseline_r1_s0,503.80674719810486,9500
9600,1.5097842037677764,nmi_baseline_r1_s0,509.19135189056396,9600
9700,1.5370721685886384,nmi_baseline_r1_s0,514.6732475757599,9700
9800,1.5345317935943603,nmi_baseline_r1_s0,520.3172936439514,9800
9900,1.516872191429138,nmi_baseline_r1_s0,526.1149418354034,9900
10000,1.5644098514318465,nmi_baseline_r1_s0,531.3000447750092,10000
1,3.3952479362487793,nmi_exposure_r1_s0,3.932175636291504,1
100,3.3323329337919603,nmi_exposure_r1_s0,9.549322128295898,100
200,3.0684615540504456,nmi_exposure_r1_s0,15.177818775177002,200
300,2.705088758468628,nmi_exposure_r1_s0,21.0334153175354,300
400,2.4269156897068025,nmi_exposure_r1_s0,26.445070266723633,400
500,2.1900243878364565,nmi_exposure_r1_s0,31.871639013290405,500
600,2.0615447640419005,nmi_exposure_r1_s0,36.98349595069885,600
700,1.9550548613071441,nmi_exposure_r1_s0,42.22364401817322,700
800,1.9555987870693208,nmi_exposure_r1_s0,47.3685507774353,800
900,1.8781593930721283,nmi_exposure_r1_s0,52.75305533409119,900
1000,1.8759733903408051,nmi_exposure_r1_s0,58.130022287368774,1000
1100,1.8348291003704071,nmi_exposure_r1_s0,63.67563199996948,1100
1200,1.8483184480667114,nmi_exposure_r1_s0,69.23134684562683,1200
1300,1.8517557871341705,nmi_exposure_r1_s0,74.78728818893433,1300
1400,1.813607679605484,nmi_exposure_r1_s0,80.26686668395996,1400
1500,1.7920668637752533,nmi_exposure_r1_s0,85.63395977020264,1500
1600,1.7825770378112793,nmi_exposure_r1_s0,91.05676865577698,1600
1700,1.7569007539749146,nmi_exposure_r1_s0,96.38579392433167,1700
1800,1.7798799395561218,nmi_exposure_r1_s0,101.48808217048645,1800
1900,1.7516844952106476,nmi_exposure_r1_s0,106.6077184677124,1900
2000,1.7909948670864104,nmi_exposure_r1_s0,111.59529376029968,2000
2100,1.7303110468387604,nmi_exposure_r1_s0,118.01105737686157,2100
2200,1.7468103003501891,nmi_exposure_r1_s0,123.24834418296814,2200
2300,1.7182129919528961,nmi_exposure_r1_s0,128.28733205795288,2300
2400,1.7360723912715912,nmi_exposure_r1_s0,133.41961240768433,2400
2500,1.7556963419914247,nmi_exposure_r1_s0,138.6886625289917,2500
2600,1.7318273615837096,nmi_exposure_r1_s0,143.81926155090332,2600
2700,1.7405630695819854,nmi_exposure_r1_s0,149.01982760429382,2700
2800,1.736320229768753,nmi_exposure_r1_s0,154.13133549690247,2800
2900,1.6844193303585053,nmi_exposure_r1_s0,159.07644867897034,2900
3000,1.7467498016357421,nmi_exposure_r1_s0,164.18330335617065,3000
3100,1.6686321091651917,nmi_exposure_r1_s0,169.2240662574768,3100
3200,1.719198968410492,nmi_exposure_r1_s0,174.16249775886536,3200
3300,1.7282348990440368,nmi_exposure_r1_s0,179.14691019058228,3300
3400,1.7162799334526062,nmi_exposure_r1_s0,184.14561581611633,3400
3500,1.6691084623336792,nmi_exposure_r1_s0,189.14812588691711,3500
3600,1.6935022532939912,nmi_exposure_r1_s0,194.30381894111633,3600
3700,1.6594389843940736,nmi_exposure_r1_s0,199.4353632926941,3700
3800,1.700742198228836,nmi_exposure_r1_s0,204.56709933280945,3800
3900,1.647129896879196,nmi_exposure_r1_s0,209.85071110725403,3900
4000,1.7046522665023804,nmi_exposure_r1_s0,215.12866187095642,4000
4100,1.6814845669269562,nmi_exposure_r1_s0,221.26970767974854,4100
4200,1.6478567373752595,nmi_exposure_r1_s0,226.63955116271973,4200
4300,1.695485187768936,nmi_exposure_r1_s0,231.81093859672546,4300
4400,1.6403746044635772,nmi_exposure_r1_s0,237.10024333000183,4400
4500,1.6594563388824464,nmi_exposure_r1_s0,242.253084897995,4500
4600,1.6195625793933868,nmi_exposure_r1_s0,247.30844736099243,4600
4700,1.6178566014766693,nmi_exposure_r1_s0,252.32566452026367,4700
4800,1.6582829308509828,nmi_exposure_r1_s0,257.57086658477783,4800
4900,1.6085571074485778,nmi_exposure_r1_s0,262.75887298583984,4900
5000,1.659703837633133,nmi_exposure_r1_s0,267.796758890152,5000
5100,1.6229516476392747,nmi_exposure_r1_s0,272.82692885398865,5100
5200,1.6471157789230346,nmi_exposure_r1_s0,277.83700728416443,5200
5300,1.5696247410774231,nmi_exposure_r1_s0,282.75775504112244,5300
5400,1.619263231754303,nmi_exposure_r1_s0,287.6152923107147,5400
5500,1.6212314879894256,nmi_exposure_r1_s0,292.61886954307556,5500
5600,1.5921992647647858,nmi_exposure_r1_s0,297.69376707077026,5600
