protocol,model,objective,model_id,sources,source_count,target,target_canonical_name,target_seen,training_seed,checkpoint_step,budget_regime,stream,schedule,episode_fingerprint,roc_auc,accuracy,source_path
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r2,"election2020,ukr_rus_suspended",2,covid_political,covid-political,False,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.8767779314959491,0.8723958333333334,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r2,"election2020,ukr_rus_suspended",2,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.98260498046875,0.98046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r2,"election2020,ukr_rus_suspended",2,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.623687744140625,0.587890625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r2,"election2020,ukr_rus_suspended",2,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5689883761935763,0.5504557291666666,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r2,"election2020,ukr_rus_suspended",2,ukr_rus_suspended,ukraine-suspended,True,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4700927734375,0.46484375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r3,"election2020,ukr_rus,ukr_rus_suspended",3,covid_political,covid-political,False,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.930259422019676,0.8746744791666666,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r3,"election2020,ukr_rus,ukr_rus_suspended",3,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.99212646484375,0.97265625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r3,"election2020,ukr_rus,ukr_rus_suspended",3,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7022590637207031,0.646484375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r3,"election2020,ukr_rus,ukr_rus_suspended",3,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6236563788519965,0.583984375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordB_r3,"election2020,ukr_rus,ukr_rus_suspended",3,ukr_rus_suspended,ukraine-suspended,True,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.5126953125,0.50390625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
