pair,target,model,auc,ap,bce,positive_bce,negative_bce,calibrated_bce,balanced_accuracy,baseline,baseline_auc,test_best_single,cosine_auc
COVID political + suspended,cp_hk_twitter,A,0.7541048979591838,0.4310483840461387,0.5964018639998281,3.26461657666625,0.06275892146654383,0.38971726111455823,0.7098571428571429,B,0.8638235714285715,0.8638235714285715,0.6702340816326532
COVID political + suspended,cp_hk_twitter,B,0.8638235714285715,0.657417282246232,0.3802152942491266,2.0079969048452457,0.05465897212990272,0.3013648779584366,0.7898571428571428,B,0.8638235714285715,0.8638235714285715,0.8207643877551021
COVID political + suspended,cp_hk_twitter,A→B,0.8779012244897959,0.6691216618699587,0.4130229560032844,2.317406661835518,0.032146214836837675,0.2940310983016308,0.8101428571428572,B,0.8638235714285715,0.8638235714285715,0.8003338775510205
COVID political + suspended,cp_hk_twitter,B→A,0.907408775510204,0.7502796884140859,0.28466555739216043,1.1780970975950602,0.10597924935158048,0.2566059831243755,0.8419285714285715,B,0.8638235714285715,0.8638235714285715,0.8204038775510205
COVID political + suspended,cp_hk_twitter,Interleaved,0.878550306122449,0.6380225901267098,0.3350275112553698,1.5710278247221556,0.08782744856201265,0.2993044830034272,0.8118571428571428,B,0.8638235714285715,0.8638235714285715,0.8270467857142857
COVID political + suspended,cp_hk_twitter,Ensemble,0.8700481632653061,,0.3133205466158134,,,0.3133205466158134,0.806,B,0.8638235714285715,,
COVID political + suspended,facebook_page_reference,A,0.6809741836734694,0.33270054226706874,0.7127077299158283,3.8718390134465257,0.08088147320968879,0.42081973815846835,0.6318571428571429,B,0.7877148979591836,0.7877148979591836,0.6684182653061225
COVID political + suspended,facebook_page_reference,B,0.7877148979591836,0.49362072225398324,0.5225601914473786,2.889383786791542,0.0491954723785459,0.36615973153783543,0.7055,B,0.7877148979591836,0.7877148979591836,0.7822851020408164
COVID political + suspended,facebook_page_reference,A→B,0.7903444897959184,0.5019893819962333,0.5325655105611271,2.929154759187852,0.053247660835782126,0.365261476660522,0.71,B,0.7877148979591836,0.7877148979591836,0.7817592346938775
COVID political + suspended,facebook_page_reference,B→A,0.7480451020408164,0.4319775816641833,0.6067594850884134,3.434079433954973,0.0412954953151014,0.3875969028515863,0.6785714285714286,B,0.7877148979591836,0.7877148979591836,0.7318310714285714
COVID political + suspended,facebook_page_reference,Interleaved,0.8120970408163265,0.5321875054267738,0.42013351860212167,2.166234714837223,0.07091327935510133,0.35069987491896315,0.7261428571428572,B,0.7877148979591836,0.7877148979591836,0.8121623469387755
COVID political + suspended,facebook_page_reference,Ensemble,0.801316887755102,,0.37115949039874113,,,0.37115949039874113,0.7311428571428571,B,0.7877148979591836,,
